Spatial ID,Output DER Types,All Sectors,Act vs Sim,Output Periods,Incremental Count (Calibration),Cumulative Count (Calibration),Incremental MW-AC (Calibration),Cumulative MW-AC (Calibration)
91963,Solar PV,Residential,Simulated,28-Feb-2012,0.2509181,4.48949984,0.00147585,0.02057914
91977,Solar PV,Residential,Simulated,28-Feb-2012,7.41330459,145.50347851,0.03732641,0.55052783
91978,Solar PV,Residential,Simulated,28-Feb-2012,1.44814037,35.8447724,0.00838947,0.13985054
91980,Solar PV,Residential,Simulated,28-Feb-2012,0.00976242,0.0194869,0.00005742,0.00011462
92003,Solar PV,Residential,Simulated,28-Feb-2012,1.63225415,41.1959366,0.01497607,0.31938999
92004,Solar PV,Residential,Simulated,28-Feb-2012,1.70260514,71.3501964,0.01017704,0.31938425
92007,Solar PV,Residential,Simulated,28-Feb-2012,1.75902479,68.43672263,0.01020126,0.26316487
92008,Solar PV,Residential,Simulated,28-Feb-2012,3.94409297,103.73226386,0.02206475,0.41875721
92009,Solar PV,Residential,Simulated,28-Feb-2012,11.75979494,244.02482567,0.07305488,1.17452516
92010,Solar PV,Residential,Simulated,28-Feb-2012,2.39264023,49.69218788,0.01639048,0.18866925
92011,Solar PV,Residential,Simulated,28-Feb-2012,4.26338021,99.36431875,0.02398869,0.42323438
92014,Solar PV,Residential,Simulated,28-Feb-2012,2.95748489,124.79105551,0.01996394,0.62622542
92019,Solar PV,Residential,Simulated,28-Feb-2012,12.21224076,223.80539544,0.08282515,1.19132558
92020,Solar PV,Residential,Simulated,28-Feb-2012,7.9024613,191.46184255,0.04728376,0.96301972
92021,Solar PV,Residential,Simulated,28-Feb-2012,11.25802805,273.03333617,0.07194026,1.45711688
92024,Solar PV,Residential,Simulated,28-Feb-2012,10.89847707,333.35203713,0.07196929,1.53424851
92025,Solar PV,Residential,Simulated,28-Feb-2012,7.65676969,187.99059304,0.04836093,1.06601309
92026,Solar PV,Residential,Simulated,28-Feb-2012,9.01559086,202.63129045,0.05192144,1.01934288
92027,Solar PV,Residential,Simulated,28-Feb-2012,8.78918512,185.17003953,0.06263387,0.89427187
92028,Solar PV,Residential,Simulated,28-Feb-2012,14.55695137,427.53711674,0.09596883,2.1927681
92029,Solar PV,Residential,Simulated,28-Feb-2012,6.69899416,203.13457343,0.03726404,1.0325748
92036,Solar PV,Residential,Simulated,28-Feb-2012,0.90191224,58.79591358,0.00532984,0.22137392
92037,Solar PV,Residential,Simulated,28-Feb-2012,7.39478386,245.41947183,0.05294402,1.18744728
92040,Solar PV,Residential,Simulated,28-Feb-2012,15.86382376,275.91620248,0.10934926,1.31374023
92054,Solar PV,Residential,Simulated,28-Feb-2012,2.32821999,66.58207302,0.01212181,0.24934643
92055,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92056,Solar PV,Residential,Simulated,28-Feb-2012,5.87504271,116.50692513,0.02730453,0.37777897
92057,Solar PV,Residential,Simulated,28-Feb-2012,7.84115539,155.37212129,0.03918138,0.56900678
92058,Solar PV,Residential,Simulated,28-Feb-2012,1.36382855,28.67649465,0.00621899,0.08600469
92059,Solar PV,Residential,Simulated,28-Feb-2012,0.71065359,14.38746367,0.00503228,0.06982491
92060,Solar PV,Residential,Simulated,28-Feb-2012,0.03471131,1.06811153,0.00020417,0.00220062
92061,Solar PV,Residential,Simulated,28-Feb-2012,0.69313621,14.35327321,0.00522604,0.06940328
92064,Solar PV,Residential,Simulated,28-Feb-2012,19.56506585,646.16536458,0.14450964,3.84261041
92065,Solar PV,Residential,Simulated,28-Feb-2012,18.47429934,459.10249963,0.13659258,2.5160964
92066,Solar PV,Residential,Simulated,28-Feb-2012,0.08838133,3.1721939,0.00053767,0.01314754
92067,Solar PV,Residential,Simulated,28-Feb-2012,3.46564083,98.79582145,0.04140817,1.18406983
92068,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92069,Solar PV,Residential,Simulated,28-Feb-2012,8.38908625,166.40898639,0.04311065,0.5477481
92070,Solar PV,Residential,Simulated,28-Feb-2012,0.13013924,10.24742677,0.00074464,0.06841575
92071,Solar PV,Residential,Simulated,28-Feb-2012,11.68487503,219.81716078,0.05704277,0.85974993
