CEC Forecast Years,Spatial ID,Output DER Types,Value
2021,92028,Solar PV,21.7503658
2021,92029,Solar PV,9.74598137
2021,92036,Solar PV,0.8054958
2021,92037,Solar PV,10.77178026
2021,92040,Solar PV,13.61494256
2021,92054,Solar PV,4.95454386
2021,92055,Solar PV,1.29416122
2021,92056,Solar PV,9.55198429
2021,92057,Solar PV,8.67658654
2021,92058,Solar PV,2.45895478
2021,92059,Solar PV,0.85083324
2021,92060,Solar PV,0.05668506
2021,92061,Solar PV,2.45942243
2021,92064,Solar PV,26.17107804
2021,92065,Solar PV,18.18313503
2021,92066,Solar PV,0.07711651
2021,92067,Solar PV,8.72547808
2021,92068,Solar PV,0
2021,92069,Solar PV,11.51689027
2021,92070,Solar PV,0.17237453
2021,92071,Solar PV,15.89775235
2021,92072,Solar PV,0.00002624
2021,92075,Solar PV,2.75092664
2021,92078,Solar PV,11.34619203
2021,92081,Solar PV,7.80501538
2021,92082,Solar PV,12.91181585
2021,92083,Solar PV,4.33790076
2021,92084,Solar PV,10.70708416
2021,92085,Solar PV,0.00000993
2021,92086,Solar PV,0.39564806
2021,92091,Solar PV,0.43280478
2021,92092,Solar PV,0.00170891
2021,92093,Solar PV,0.00000175
2021,92096,Solar PV,0.00060034
2021,92101,Solar PV,3.33185348
2021,92102,Solar PV,2.74100333
2021,92103,Solar PV,2.96796462
2021,92104,Solar PV,3.10133981
2021,92105,Solar PV,4.52780026
2021,92106,Solar PV,4.92439174
2021,92107,Solar PV,2.50427731
2021,92108,Solar PV,3.71305488
2021,92109,Solar PV,3.68011386
2021,92110,Solar PV,5.53223466
2021,92111,Solar PV,8.59879565
2021,92112,Solar PV,0.00714953
2021,92113,Solar PV,4.23800615
2021,92114,Solar PV,8.72116423
2021,92115,Solar PV,6.75325242
2021,92116,Solar PV,2.5337453
2021,92117,Solar PV,7.56758653
2021,92118,Solar PV,3.54085613
2021,92119,Solar PV,5.54065108
2021,92120,Solar PV,8.73832743
2021,92121,Solar PV,6.45913021
2021,92122,Solar PV,4.31179673
2021,92123,Solar PV,9.19767381
2021,92124,Solar PV,4.48653887
2021,92126,Solar PV,10.85954976
2021,92127,Solar PV,17.66076225
2021,92128,Solar PV,8.42569714
2021,92129,Solar PV,11.19251676
2021,92130,Solar PV,17.11130707
2021,92131,Solar PV,12.53392254
2021,92132,Solar PV,0.00005361
2021,92136,Solar PV,1.24339618
2021,92139,Solar PV,4.1472615
2021,92145,Solar PV,0.0778904
2021,92152,Solar PV,0.00000985
2021,92154,Solar PV,11.93317002
2021,92158,Solar PV,0.00069671
2021,92161,Solar PV,0.00000022
2021,92173,Solar PV,3.01610756
2021,92179,Solar PV,0.20206854
2021,92182,Solar PV,0.03547101
2021,92199,Solar PV,0.0009226
2021,92536,Solar PV,0.04039107
2021,92624,Solar PV,0.56149665
2021,92629,Solar PV,1.83720842
2021,92651,Solar PV,0.34219772
2021,92653,Solar PV,5.80309985
2021,92656,Solar PV,0.34101369
2021,92672,Solar PV,5.25923575
2021,92673,Solar PV,7.61094596
2021,92674,Solar PV,0.00001347
2021,92675,Solar PV,7.21823093
2021,92676,Solar PV,0.00002169
2021,92677,Solar PV,6.11562953
2021,92679,Solar PV,4.34367981
2021,92688,Solar PV,1.70613745
2021,92690,Solar PV,0.00002453
2021,92691,Solar PV,3.98245887
2021,92692,Solar PV,3.17884379
2021,92693,Solar PV,0.00000071
2021,92694,Solar PV,7.44854766
2021,92697,Solar PV,0.00000002
2022,91901,Solar PV,9.03810588
2022,91902,Solar PV,6.15736952
2022,91905,Solar PV,0.45964651
2022,91906,Solar PV,1.06378735
2022,91910,Solar PV,11.0923279
2022,91911,Solar PV,11.05341412
2022,91913,Solar PV,9.68886939
2022,91914,Solar PV,6.45527264
2022,91915,Solar PV,6.37692119
2022,91916,Solar PV,0.53502931
2022,91917,Solar PV,0.19853173
2022,91931,Solar PV,0.0271233
2022,91932,Solar PV,2.0793897
2022,91934,Solar PV,0.0730711
2022,91935,Solar PV,5.8675616
2022,91941,Solar PV,8.69634971
2022,91942,Solar PV,7.60755198
2022,91945,Solar PV,3.91102242
2022,91948,Solar PV,0.00082125
2022,91950,Solar PV,4.03073083
2022,91962,Solar PV,0.48594794
2022,91963,Solar PV,0.13974126
2022,91977,Solar PV,10.77957634
2022,91978,Solar PV,3.12738232
2022,91980,Solar PV,0.06750539
2022,92003,Solar PV,2.79084422
2022,92004,Solar PV,3.02889055
2022,92007,Solar PV,1.73451526
2022,92008,Solar PV,6.45072707
2022,92009,Solar PV,15.27825855
2022,92010,Solar PV,3.67824421
2022,92011,Solar PV,4.80677434
2022,92014,Solar PV,4.55737414
2022,92019,Solar PV,17.0791105
2022,92020,Solar PV,13.59260681
2022,92021,Solar PV,15.50470125
2022,92024,Solar PV,15.4334632
2022,92025,Solar PV,12.29969668
2022,92026,Solar PV,13.26188087
2022,92027,Solar PV,15.80096359
2022,92028,Solar PV,23.0222892
2022,92029,Solar PV,10.31415091
2022,92036,Solar PV,0.90488529
2022,92037,Solar PV,11.44301922
2022,92040,Solar PV,13.95077268
2022,92054,Solar PV,5.4752769
2022,92055,Solar PV,1.29416122
2022,92056,Solar PV,10.05091531
2022,92057,Solar PV,9.31484729
2022,92058,Solar PV,2.60952868
2022,92059,Solar PV,0.90647206
2022,92060,Solar PV,0.05742655
2022,92061,Solar PV,2.47452979
2022,92064,Solar PV,27.65500513
2022,92065,Solar PV,18.87566986
2022,92066,Solar PV,0.08043694
2022,92067,Solar PV,9.34338478
2022,92068,Solar PV,0
2022,92069,Solar PV,12.32124645
2022,92070,Solar PV,0.18494932
2022,92071,Solar PV,16.77396425
2022,92072,Solar PV,0.00004043
2022,92075,Solar PV,2.97475766
2022,92078,Solar PV,12.77149208
2022,92081,Solar PV,8.28977701
2022,92082,Solar PV,13.51420335
2022,92083,Solar PV,4.60338559
2022,92084,Solar PV,11.57653808
2022,92085,Solar PV,0.00001532
2022,92086,Solar PV,0.43666952
2022,92091,Solar PV,0.5354504
2022,92092,Solar PV,0.00328336
2022,92093,Solar PV,0.0000027
2022,92096,Solar PV,0.00092483
2022,92101,Solar PV,3.80858254
2022,92102,Solar PV,3.03443564
2022,92103,Solar PV,3.06311017
2022,92104,Solar PV,3.57515703
2022,92105,Solar PV,5.04668093
2022,92106,Solar PV,5.15162919
2022,92107,Solar PV,2.80729344
2022,92108,Solar PV,4.11400928
2022,92109,Solar PV,4.00505832
2022,92110,Solar PV,5.84074692
2022,92111,Solar PV,9.09492738
2022,92112,Solar PV,0.00734226
2022,92113,Solar PV,5.04470164
2022,92114,Solar PV,9.63311595
2022,92115,Solar PV,7.13136471
2022,92116,Solar PV,2.64410849
2022,92117,Solar PV,8.23707674
2022,92118,Solar PV,3.69811184
2022,92119,Solar PV,5.78827406
2022,92120,Solar PV,9.31224134
2022,92121,Solar PV,7.26560405
2022,92122,Solar PV,4.62167128
2022,92123,Solar PV,9.58296376
2022,92124,Solar PV,4.70083729
2022,92126,Solar PV,11.4846937
2022,92127,Solar PV,18.87673372
2022,92128,Solar PV,8.86319306
2022,92129,Solar PV,11.80772438
